,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
758,Cómo vivir una vida saludable y activa,8990,Introductory,Social Sciences,Español,Español,5 Weeks,49.0,440510.0
759,Mandarin Chinese Level 3,8418,Intermediate,Language,English,English,6 Weeks,149.0,1254282.0
761,Data for Effective Policy Making,13797,Introductory,Math,English,English,10 Weeks,25.0,344925.0
762,C Programming: Using Linux Tools and Libraries,13912,Intermediate,Computer Science,English,English,7 Weeks,49.0,681688.0
763,Lernen objekt-orientierter Programmierung,10657,Introductory,Computer Science,Deutsch,Deutsch,6 Weeks,49.0,522193.0
764,Cybersecurity: The CISO's View,21507,Introductory,Computer Science,English,English,6 Weeks,199.0,4279893.0
765,Fundamentals of Java EE Development,10129,Intermediate,Computer Science,English,English,7 Weeks,99.0,1002771.0
766,"Instructional Design: Digital Media, New Tools and Technology",16419,Intermediate,Education & Teacher Training,English,English,8 Weeks,299.0,4909281.0
767,Molecular Biology – Part 3: RNA Processing and Translation,16520,Advanced,Biology & Life Sciences,English,"English, 中文",8 Weeks,99.0,1635480.0
768,Power and Responsibility: Doing Philosophy with Superheroes,8517,Introductory,Art & Culture,English,English,5 Weeks,49.0,417333.0
769,Aprendizaje automático y ciencia de datos,13994,Intermediate,Computer Science,Español,Español,5 Weeks,50.0,699700.0
770,Sustainable Urban Freight Transport: A Global Perspective,7769,Introductory,Engineering,English,English,5 Weeks,50.0,388450.0
772,Técnicas Cuantitativas y Cualitativas para la Investigación,29885,Intermediate,Data Analysis & Statistics,Español,Español,6 Weeks,65.0,1942525.0
773,Strategic Applications of IT Project & Program Management,17914,Introductory,Business & Management,English,English,6 Weeks,199.0,3564886.0
774,Advanced Bioconductor,26063,Advanced,Data Analysis & Statistics,English,English,4 Weeks,149.0,3883387.0
776,Análisis e interpretación de información económica y financiera,5891,Intermediate,Economics & Finance,Español,Español,5 Weeks,49.0,288659.0
777,AWS IoT: Developing and Deploying an Internet of Things,8884,Intermediate,Computer Science,English,English,4 Weeks,99.0,879516.0
779,Embedded Systems - Shape The World: Multi-Threaded Interfacing,27814,Intermediate,Computer Science,English,English,8 Weeks,49.0,1362886.0
780,Hong Kong Cinema through a Global Lens | 全球化下的香港电影,12458,Introductory,Humanities,English,"English, 中文",6 Weeks,50.0,622900.0
781,Image Processing and Analysis for Life Scientists,8621,Intermediate,Data Analysis & Statistics,English,English,7 Weeks,199.0,1715579.0
782,La protección del menor,7654,Introductory,Law,Español,Español,5 Weeks,49.0,375046.0
783,Globalization: Past and Future,10127,Introductory,History,English,"English, Русский",4 Weeks,25.0,253175.0
784,Star Trek: Inspiring Culture and Technology,6521,Introductory,History,English,English,7 Weeks,40.0,260840.0
785,Qué funciona en educación: políticas educativas basadas en evidencia,15701,Introductory,Education & Teacher Training,Español,Español,10 Weeks,25.0,392525.0
787,Tools for Academic Engagement in Public Policy,5035,Introductory,Communication,English,English,3 Weeks,199.0,1001965.0
788,Theory of Change for Development,10736,Introductory,Social Sciences,English,English,7 Weeks,199.0,2136464.0
792,Natural Resources for Sustainable Development,9668,Intermediate,Energy & Earth Sciences,English,"اللغة العربية, English, Español, Français, Русский",12 Weeks,49.0,473732.0
793,Omnichannel Strategy and Management,15860,Intermediate,Business & Management,English,English,4 Weeks,99.0,1570140.0
794,General Overview of Cannabis and the Industry’s Outlook and Professions,5048,Introductory,Environmental Studies,English,English,4 Weeks,199.0,1004552.0
795,Amazon SageMaker: Simplifying Machine Learning Application Development,11765,Intermediate,Computer Science,English,English,4 Weeks,99.0,1164735.0
796,Formulación y nomenclatura de compuestos químicos,12748,Introductory,Chemistry,Español,Español,6 Weeks,49.0,624652.0
797,Introducción a la factura electrónica,5829,Intermediate,Economics & Finance,Español,Español,4 Weeks,49.0,285621.0
798,Demand and Supply Analytics,23585,Intermediate,Business & Management,English,English,12 Weeks,249.0,5872665.0
799,Advanced Algorithmics and Graph Theory with Python,13502,Intermediate,Computer Science,English,English,6 Weeks,49.0,661598.0
801,Diagramas UML estructurales para la Ingeniería del Software,5820,Introductory,Computer Science,Español,Español,5 Weeks,50.0,291000.0
802,"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",6232,Intermediate,Math,English,English,7 Weeks,49.0,305368.0
